section,strategy,target,dataset,guard,aspect,prefix,metric,value,n
lift_paper_merged,2506.02479v2,merged,AdvBench,llamaguard,lift_pp,target-vanilla,value,8.076923,520
lift_paper_merged,2506.02479v2,merged,HarmBench,llamaguard,lift_pp,target-vanilla,value,4.000000,400
lift_paper_merged,2506.02479v2,merged,JBB-Behaviors,llamaguard,lift_pp,target-vanilla,value,11.000000,300
lift_paper_merged,2506.02479v2,merged,do-not-answer,llamaguard,lift_pp,target-vanilla,value,22.151225,939
lift_paper_merged,2506.02479v2,merged,ALL,llamaguard,lift_pp,target-vanilla,value,11.653314,4119
gj_paper_merged,2506.02479v2,merged,ALL,gptoss_safeguard,strict_gj,target,rate,0.149065,4119
lift_paper_merged,2506.02479v2,merged,HarmfulQA,gptoss_safeguard,lift_pp,target-vanilla,value,13.877551,1960
lift_paper_merged,2506.02479v2,merged,AdvBench,gptoss_safeguard,lift_pp,target-vanilla,value,0.961538,520
lift_paper_merged,2506.02479v2,merged,HarmBench,gptoss_safeguard,lift_pp,target-vanilla,value,5.000000,400
lift_paper_merged,2506.02479v2,merged,JBB-Behaviors,gptoss_safeguard,lift_pp,target-vanilla,value,8.333333,300
lift_paper_merged,2506.02479v2,merged,do-not-answer,gptoss_safeguard,lift_pp,target-vanilla,value,19.169329,939
lift_paper_merged,2506.02479v2,merged,ALL,gptoss_safeguard,lift_pp,target-vanilla,value,12.187424,4119
coverage,2507.05248v2,llama-3.1-8b,ALL,gptoss_safeguard,target,target,items,4119,
coverage,2507.05248v2,llama-3.1-8b,ALL,gptoss_safeguard,target,target,complete,4119,
coverage,2507.05248v2,llama-3.1-8b,ALL,gptoss_safeguard,target,target,unknown,1,
coverage,2507.05248v2,llama-3.1-8b,ALL,gptoss_safeguard,vanilla,vanilla,complete,4119,
gj_per_target,2507.05248v2,llama-3.1-8b,AdvBench,gptoss_safeguard,strict_gj,target,rate,0.011538,520
gj_per_target,2507.05248v2,llama-3.1-8b,AdvBench,gptoss_safeguard,strict_gj,vanilla,rate,0.000000,520
gj_per_target,2507.05248v2,llama-3.1-8b,JBB-Behaviors,gptoss_safeguard,strict_gj,target,rate,0.020000,300
gj_per_target,2507.05248v2,llama-3.1-8b,JBB-Behaviors,gptoss_safeguard,strict_gj,vanilla,rate,0.000000,300
gj_per_target,2507.05248v2,llama-3.1-8b,HarmBench,gptoss_safeguard,strict_gj,target,rate,0.022500,400
gj_per_target,2507.05248v2,llama-3.1-8b,HarmBench,gptoss_safeguard,strict_gj,vanilla,rate,0.172500,400
gj_per_target,2507.05248v2,llama-3.1-8b,HarmfulQA,gptoss_safeguard,strict_gj,target,rate,0.019898,1960
gj_per_target,2507.05248v2,llama-3.1-8b,HarmfulQA,gptoss_safeguard,strict_gj,vanilla,rate,0.003061,1960
gj_per_target,2507.05248v2,llama-3.1-8b,do-not-answer,gptoss_safeguard,strict_gj,target,rate,0.005325,939
gj_per_target,2507.05248v2,llama-3.1-8b,do-not-answer,gptoss_safeguard,strict_gj,vanilla,rate,0.002130,939
gj_per_target,2507.05248v2,llama-3.1-8b,ALL,gptoss_safeguard,strict_gj,target,rate,0.015781,4119
gj_per_target,2507.05248v2,llama-3.1-8b,ALL,gptoss_safeguard,strict_gj,vanilla,rate,0.018694,4119
coverage,2507.05248v2,gemma-3-4b,ALL,gptoss_safeguard,target,target,items,4119,
coverage,2507.05248v2,gemma-3-4b,ALL,gptoss_safeguard,target,target,complete,4119,
coverage,2507.05248v2,gemma-3-4b,ALL,gptoss_safeguard,target,target,unknown,4,
coverage,2507.05248v2,gemma-3-4b,ALL,gptoss_safeguard,vanilla,vanilla,complete,4119,
gj_per_target,2507.05248v2,gemma-3-4b,AdvBench,gptoss_safeguard,strict_gj,target,rate,0.003846,520
gj_per_target,2507.05248v2,gemma-3-4b,AdvBench,gptoss_safeguard,strict_gj,vanilla,rate,0.000000,520
gj_per_target,2507.05248v2,gemma-3-4b,JBB-Behaviors,gptoss_safeguard,strict_gj,target,rate,0.016667,300
gj_per_target,2507.05248v2,gemma-3-4b,JBB-Behaviors,gptoss_safeguard,strict_gj,vanilla,rate,0.000000,300
gj_per_target,2507.05248v2,gemma-3-4b,HarmBench,gptoss_safeguard,strict_gj,target,rate,0.005000,400
gj_per_target,2507.05248v2,gemma-3-4b,HarmBench,gptoss_safeguard,strict_gj,vanilla,rate,0.132500,400
gj_per_target,2507.05248v2,gemma-3-4b,HarmfulQA,gptoss_safeguard,strict_gj,target,rate,0.003571,1960
gj_per_target,2507.05248v2,gemma-3-4b,HarmfulQA,gptoss_safeguard,strict_gj,vanilla,rate,0.001020,1960
gj_per_target,2507.05248v2,gemma-3-4b,do-not-answer,gptoss_safeguard,strict_gj,target,rate,0.001065,939
gj_per_target,2507.05248v2,gemma-3-4b,do-not-answer,gptoss_safeguard,strict_gj,vanilla,rate,0.000000,939
gj_per_target,2507.05248v2,gemma-3-4b,ALL,gptoss_safeguard,strict_gj,target,rate,0.004127,4119
gj_per_target,2507.05248v2,gemma-3-4b,ALL,gptoss_safeguard,strict_gj,vanilla,rate,0.013353,4119
coverage,2507.05248v2,qwen-2.5-7b,ALL,gptoss_safeguard,target,target,items,4119,
coverage,2507.05248v2,qwen-2.5-7b,ALL,gptoss_safeguard,target,target,complete,4119,
coverage,2507.05248v2,qwen-2.5-7b,ALL,gptoss_safeguard,target,target,unknown,0,
coverage,2507.05248v2,qwen-2.5-7b,ALL,gptoss_safeguard,vanilla,vanilla,complete,4119,
gj_per_target,2507.05248v2,qwen-2.5-7b,AdvBench,gptoss_safeguard,strict_gj,target,rate,0.007692,520
gj_per_target,2507.05248v2,qwen-2.5-7b,AdvBench,gptoss_safeguard,strict_gj,vanilla,rate,0.000000,520
gj_per_target,2507.05248v2,qwen-2.5-7b,JBB-Behaviors,gptoss_safeguard,strict_gj,target,rate,0.020000,300
gj_per_target,2507.05248v2,qwen-2.5-7b,JBB-Behaviors,gptoss_safeguard,strict_gj,vanilla,rate,0.000000,300
gj_per_target,2507.05248v2,qwen-2.5-7b,HarmBench,gptoss_safeguard,strict_gj,target,rate,0.017500,400
gj_per_target,2507.05248v2,qwen-2.5-7b,HarmBench,gptoss_safeguard,strict_gj,vanilla,rate,0.160000,400
gj_per_target,2507.05248v2,qwen-2.5-7b,HarmfulQA,gptoss_safeguard,strict_gj,target,rate,0.022449,1960
gj_per_target,2507.05248v2,qwen-2.5-7b,HarmfulQA,gptoss_safeguard,strict_gj,vanilla,rate,0.013776,1960
gj_per_target,2507.05248v2,qwen-2.5-7b,do-not-answer,gptoss_safeguard,strict_gj,target,rate,0.013845,939
gj_per_target,2507.05248v2,qwen-2.5-7b,do-not-answer,gptoss_safeguard,strict_gj,vanilla,rate,0.000000,939
gj_per_target,2507.05248v2,qwen-2.5-7b,ALL,gptoss_safeguard,strict_gj,target,rate,0.017966,4119
gj_per_target,2507.05248v2,qwen-2.5-7b,ALL,gptoss_safeguard,strict_gj,vanilla,rate,0.022093,4119
gj_paper_merged,2507.05248v2,merged,ALL,wildguard,strict_gj,target,rate,0.056461,4109
lift_paper_merged,2507.05248v2,merged,HarmfulQA,wildguard,lift_pp,target-vanilla,value,6.636377,1959
lift_paper_merged,2507.05248v2,merged,AdvBench,wildguard,lift_pp,target-vanilla,value,4.826255,518
lift_paper_merged,2507.05248v2,merged,HarmBench,wildguard,lift_pp,target-vanilla,value,2.274626,396
lift_paper_merged,2507.05248v2,merged,JBB-Behaviors,wildguard,lift_pp,target-vanilla,value,5.351171,299
lift_paper_merged,2507.05248v2,merged,do-not-answer,wildguard,lift_pp,target-vanilla,value,4.055496,937
lift_paper_merged,2507.05248v2,merged,ALL,wildguard,lift_pp,target-vanilla,value,5.306172,4109
gj_paper_merged,2507.05248v2,merged,ALL,qwen3guard,strict_gj,target,rate,0.024521,4119
lift_paper_merged,2507.05248v2,merged,HarmfulQA,qwen3guard,lift_pp,target-vanilla,value,2.908163,1960
lift_paper_merged,2507.05248v2,merged,AdvBench,qwen3guard,lift_pp,target-vanilla,value,1.730769,520
lift_paper_merged,2507.05248v2,merged,HarmBench,qwen3guard,lift_pp,target-vanilla,value,1.000000,400
lift_paper_merged,2507.05248v2,merged,JBB-Behaviors,qwen3guard,lift_pp,target-vanilla,value,1.333333,300
lift_paper_merged,2507.05248v2,merged,do-not-answer,qwen3guard,lift_pp,target-vanilla,value,1.597444,939
lift_paper_merged,2507.05248v2,merged,ALL,qwen3guard,lift_pp,target-vanilla,value,2.160719,4119
gj_paper_merged,2507.05248v2,merged,ALL,granite4,strict_gj,target,rate,0.032532,4119
lift_paper_merged,2507.05248v2,merged,HarmfulQA,granite4,lift_pp,target-vanilla,value,1.173469,1960
lift_paper_merged,2507.05248v2,merged,AdvBench,granite4,lift_pp,target-vanilla,value,7.307692,520
lift_paper_merged,2507.05248v2,merged,HarmBench,granite4,lift_pp,target-vanilla,value,-12.000000,400
lift_paper_merged,2507.05248v2,merged,JBB-Behaviors,granite4,lift_pp,target-vanilla,value,5.333333,300
lift_paper_merged,2507.05248v2,merged,do-not-answer,granite4,lift_pp,target-vanilla,value,2.129925,939
lift_paper_merged,2507.05248v2,merged,ALL,granite4,lift_pp,target-vanilla,value,1.189609,4119
gj_paper_merged,2507.05248v2,merged,ALL,llamaguard,strict_gj,target,rate,0.094926,4119
lift_paper_merged,2507.05248v2,merged,HarmfulQA,llamaguard,lift_pp,target-vanilla,value,6.734694,1960
lift_paper_merged,2507.05248v2,merged,AdvBench,llamaguard,lift_pp,target-vanilla,value,15.384615,520
lift_paper_merged,2507.05248v2,merged,HarmBench,llamaguard,lift_pp,target-vanilla,value,4.750000,400
lift_paper_merged,2507.05248v2,merged,JBB-Behaviors,llamaguard,lift_pp,target-vanilla,value,11.000000,300
lift_paper_merged,2507.05248v2,merged,do-not-answer,llamaguard,lift_pp,target-vanilla,value,4.792332,939
lift_paper_merged,2507.05248v2,merged,ALL,llamaguard,lift_pp,target-vanilla,value,7.501821,4119
gj_paper_merged,2507.05248v2,merged,ALL,gptoss_safeguard,strict_gj,target,rate,0.026463,4119
lift_paper_merged,2507.05248v2,merged,HarmfulQA,gptoss_safeguard,lift_pp,target-vanilla,value,1.632653,1960
lift_paper_merged,2507.05248v2,merged,AdvBench,gptoss_safeguard,lift_pp,target-vanilla,value,1.730769,520
lift_paper_merged,2507.05248v2,merged,HarmBench,gptoss_safeguard,lift_pp,target-vanilla,value,-17.000000,400
lift_paper_merged,2507.05248v2,merged,JBB-Behaviors,gptoss_safeguard,lift_pp,target-vanilla,value,3.000000,300
lift_paper_merged,2507.05248v2,merged,do-not-answer,gptoss_safeguard,lift_pp,target-vanilla,value,1.490948,939
lift_paper_merged,2507.05248v2,merged,ALL,gptoss_safeguard,lift_pp,target-vanilla,value,-0.097111,4119
coverage,ReNeLLM,llama-3.1-8b,ALL,gptoss_safeguard,target,target,items,3999,
coverage,ReNeLLM,llama-3.1-8b,ALL,gptoss_safeguard,target,target,complete,3999,
coverage,ReNeLLM,llama-3.1-8b,ALL,gptoss_safeguard,target,target,unknown,1,
coverage,ReNeLLM,llama-3.1-8b,ALL,gptoss_safeguard,vanilla,vanilla,complete,3999,
gj_per_target,ReNeLLM,llama-3.1-8b,do-not-answer,gptoss_safeguard,strict_gj,target,rate,0.025559,939
gj_per_target,ReNeLLM,llama-3.1-8b,do-not-answer,gptoss_safeguard,strict_gj,vanilla,rate,0.002130,939
gj_per_target,ReNeLLM,llama-3.1-8b,JBB-Behaviors,gptoss_safeguard,strict_gj,target,rate,0.022000,500
gj_per_target,ReNeLLM,llama-3.1-8b,JBB-Behaviors,gptoss_safeguard,strict_gj,vanilla,rate,0.010000,500
gj_per_target,ReNeLLM,llama-3.1-8b,HarmBench,gptoss_safeguard,strict_gj,target,rate,0.000000,80
gj_per_target,ReNeLLM,llama-3.1-8b,HarmBench,gptoss_safeguard,strict_gj,vanilla,rate,0.187500,80
gj_per_target,ReNeLLM,llama-3.1-8b,AdvBench,gptoss_safeguard,strict_gj,target,rate,0.038462,520
gj_per_target,ReNeLLM,llama-3.1-8b,AdvBench,gptoss_safeguard,strict_gj,vanilla,rate,0.000000,520
gj_per_target,ReNeLLM,llama-3.1-8b,HarmfulQA,gptoss_safeguard,strict_gj,target,rate,0.049490,1960
gj_per_target,ReNeLLM,llama-3.1-8b,HarmfulQA,gptoss_safeguard,strict_gj,vanilla,rate,0.003571,1960
gj_per_target,ReNeLLM,llama-3.1-8b,ALL,gptoss_safeguard,strict_gj,target,rate,0.038010,3999
gj_per_target,ReNeLLM,llama-3.1-8b,ALL,gptoss_safeguard,strict_gj,vanilla,rate,0.007252,3999
coverage,ReNeLLM,gemma-3-4b,ALL,gptoss_safeguard,target,target,items,3999,
coverage,ReNeLLM,gemma-3-4b,ALL,gptoss_safeguard,target,target,complete,3999,
coverage,ReNeLLM,gemma-3-4b,ALL,gptoss_safeguard,target,target,unknown,1,
coverage,ReNeLLM,gemma-3-4b,ALL,gptoss_safeguard,vanilla,vanilla,complete,3999,
gj_per_target,ReNeLLM,gemma-3-4b,do-not-answer,gptoss_safeguard,strict_gj,target,rate,0.036209,939
gj_per_target,ReNeLLM,gemma-3-4b,do-not-answer,gptoss_safeguard,strict_gj,vanilla,rate,0.000000,939
gj_per_target,ReNeLLM,gemma-3-4b,JBB-Behaviors,gptoss_safeguard,strict_gj,target,rate,0.054000,500
gj_per_target,ReNeLLM,gemma-3-4b,JBB-Behaviors,gptoss_safeguard,strict_gj,vanilla,rate,0.000000,500
gj_per_target,ReNeLLM,gemma-3-4b,HarmBench,gptoss_safeguard,strict_gj,target,rate,0.025000,80
gj_per_target,ReNeLLM,gemma-3-4b,HarmBench,gptoss_safeguard,strict_gj,vanilla,rate,0.125000,80
gj_per_target,ReNeLLM,gemma-3-4b,AdvBench,gptoss_safeguard,strict_gj,target,rate,0.046154,520
gj_per_target,ReNeLLM,gemma-3-4b,AdvBench,gptoss_safeguard,strict_gj,vanilla,rate,0.000000,520
gj_per_target,ReNeLLM,gemma-3-4b,HarmfulQA,gptoss_safeguard,strict_gj,target,rate,0.080102,1960
gj_per_target,ReNeLLM,gemma-3-4b,HarmfulQA,gptoss_safeguard,strict_gj,vanilla,rate,0.001020,1960
gj_per_target,ReNeLLM,gemma-3-4b,ALL,gptoss_safeguard,strict_gj,target,rate,0.061015,3999
gj_per_target,ReNeLLM,gemma-3-4b,ALL,gptoss_safeguard,strict_gj,vanilla,rate,0.003001,3999
coverage,ReNeLLM,qwen-2.5-7b,ALL,gptoss_safeguard,target,target,items,3999,
coverage,ReNeLLM,qwen-2.5-7b,ALL,gptoss_safeguard,target,target,complete,3999,
coverage,ReNeLLM,qwen-2.5-7b,ALL,gptoss_safeguard,target,target,unknown,1,
coverage,ReNeLLM,qwen-2.5-7b,ALL,gptoss_safeguard,vanilla,vanilla,complete,3999,
gj_per_target,ReNeLLM,qwen-2.5-7b,do-not-answer,gptoss_safeguard,strict_gj,target,rate,0.036209,939
gj_per_target,ReNeLLM,qwen-2.5-7b,do-not-answer,gptoss_safeguard,strict_gj,vanilla,rate,0.000000,939
gj_per_target,ReNeLLM,qwen-2.5-7b,JBB-Behaviors,gptoss_safeguard,strict_gj,target,rate,0.046000,500
gj_per_target,ReNeLLM,qwen-2.5-7b,JBB-Behaviors,gptoss_safeguard,strict_gj,vanilla,rate,0.010000,500
gj_per_target,ReNeLLM,qwen-2.5-7b,HarmBench,gptoss_safeguard,strict_gj,target,rate,0.012500,80
gj_per_target,ReNeLLM,qwen-2.5-7b,HarmBench,gptoss_safeguard,strict_gj,vanilla,rate,0.150000,80
gj_per_target,ReNeLLM,qwen-2.5-7b,AdvBench,gptoss_safeguard,strict_gj,target,rate,0.061538,520
gj_per_target,ReNeLLM,qwen-2.5-7b,AdvBench,gptoss_safeguard,strict_gj,vanilla,rate,0.000000,520
gj_per_target,ReNeLLM,qwen-2.5-7b,HarmfulQA,gptoss_safeguard,strict_gj,target,rate,0.063265,1960
gj_per_target,ReNeLLM,qwen-2.5-7b,HarmfulQA,gptoss_safeguard,strict_gj,vanilla,rate,0.014286,1960
gj_per_target,ReNeLLM,qwen-2.5-7b,ALL,gptoss_safeguard,strict_gj,target,rate,0.053513,3999
gj_per_target,ReNeLLM,qwen-2.5-7b,ALL,gptoss_safeguard,strict_gj,vanilla,rate,0.011253,3999
gj_paper_merged,ReNeLLM,merged,ALL,wildguard,strict_gj,target,rate,0.174044,3999
lift_paper_merged,ReNeLLM,merged,HarmfulQA,wildguard,lift_pp,target-vanilla,value,20.306122,1960
lift_paper_merged,ReNeLLM,merged,AdvBench,wildguard,lift_pp,target-vanilla,value,11.730769,520
lift_paper_merged,ReNeLLM,merged,JBB-Behaviors,wildguard,lift_pp,target-vanilla,value,14.000000,500
lift_paper_merged,ReNeLLM,merged,do-not-answer,wildguard,lift_pp,target-vanilla,value,15.654952,939
lift_paper_merged,ReNeLLM,merged,HarmBench,wildguard,lift_pp,target-vanilla,value,5.000000,80
lift_paper_merged,ReNeLLM,merged,ALL,wildguard,lift_pp,target-vanilla,value,17.004251,3999
gj_paper_merged,ReNeLLM,merged,ALL,qwen3guard,strict_gj,target,rate,0.135284,3999
lift_paper_merged,ReNeLLM,merged,HarmfulQA,qwen3guard,lift_pp,target-vanilla,value,14.336735,1960
lift_paper_merged,ReNeLLM,merged,AdvBench,qwen3guard,lift_pp,target-vanilla,value,19.038462,520
lift_paper_merged,ReNeLLM,merged,JBB-Behaviors,qwen3guard,lift_pp,target-vanilla,value,11.800000,500
lift_paper_merged,ReNeLLM,merged,do-not-answer,qwen3guard,lift_pp,target-vanilla,value,7.987220,939
lift_paper_merged,ReNeLLM,merged,HarmBench,qwen3guard,lift_pp,target-vanilla,value,17.500000,80
lift_paper_merged,ReNeLLM,merged,ALL,qwen3guard,lift_pp,target-vanilla,value,13.203301,3999
gj_paper_merged,ReNeLLM,merged,ALL,granite4,strict_gj,target,rate,0.136034,3999
lift_paper_merged,ReNeLLM,merged,HarmfulQA,granite4,lift_pp,target-vanilla,value,13.826531,1960
lift_paper_merged,ReNeLLM,merged,AdvBench,granite4,lift_pp,target-vanilla,value,21.153846,520
lift_paper_merged,ReNeLLM,merged,JBB-Behaviors,granite4,lift_pp,target-vanilla,value,12.600000,500
lift_paper_merged,ReNeLLM,merged,do-not-answer,granite4,lift_pp,target-vanilla,value,9.052183,939
lift_paper_merged,ReNeLLM,merged,HarmBench,granite4,lift_pp,target-vanilla,value,-8.750000,80
lift_paper_merged,ReNeLLM,merged,ALL,granite4,lift_pp,target-vanilla,value,13.053263,3999
gj_paper_merged,ReNeLLM,merged,ALL,llamaguard,strict_gj,target,rate,0.198550,3999
lift_paper_merged,ReNeLLM,merged,HarmfulQA,llamaguard,lift_pp,target-vanilla,value,19.846939,1960
lift_paper_merged,ReNeLLM,merged,AdvBench,llamaguard,lift_pp,target-vanilla,value,23.846154,520
lift_paper_merged,ReNeLLM,merged,JBB-Behaviors,llamaguard,lift_pp,target-vanilla,value,14.800000,500
lift_paper_merged,ReNeLLM,merged,do-not-answer,llamaguard,lift_pp,target-vanilla,value,12.353568,939
lift_paper_merged,ReNeLLM,merged,HarmBench,llamaguard,lift_pp,target-vanilla,value,2.500000,80
lift_paper_merged,ReNeLLM,merged,ALL,llamaguard,lift_pp,target-vanilla,value,17.629407,3999
gj_paper_merged,ReNeLLM,merged,ALL,gptoss_safeguard,strict_gj,target,rate,0.092023,3999
lift_paper_merged,ReNeLLM,merged,HarmfulQA,gptoss_safeguard,lift_pp,target-vanilla,value,9.795918,1960
lift_paper_merged,ReNeLLM,merged,AdvBench,gptoss_safeguard,lift_pp,target-vanilla,value,8.653846,520
lift_paper_merged,ReNeLLM,merged,JBB-Behaviors,gptoss_safeguard,lift_pp,target-vanilla,value,6.400000,500
lift_paper_merged,ReNeLLM,merged,do-not-answer,gptoss_safeguard,lift_pp,target-vanilla,value,5.857295,939
lift_paper_merged,ReNeLLM,merged,HarmBench,gptoss_safeguard,lift_pp,target-vanilla,value,-18.750000,80
lift_paper_merged,ReNeLLM,merged,ALL,gptoss_safeguard,lift_pp,target-vanilla,value,7.726932,3999
coverage,humanize,llama-3.1-8b,ALL,gptoss_safeguard,target,target,items,4319,
coverage,humanize,llama-3.1-8b,ALL,gptoss_safeguard,target,target,complete,4319,
coverage,humanize,llama-3.1-8b,ALL,gptoss_safeguard,target,target,unknown,1,
coverage,humanize,llama-3.1-8b,ALL,gptoss_safeguard,vanilla,vanilla,complete,4319,
gj_per_target,humanize,llama-3.1-8b,do-not-answer,gptoss_safeguard,strict_gj,target,rate,0.003195,939
gj_per_target,humanize,llama-3.1-8b,do-not-answer,gptoss_safeguard,strict_gj,vanilla,rate,0.001065,939
gj_per_target,humanize,llama-3.1-8b,AdvBench,gptoss_safeguard,strict_gj,target,rate,0.001923,520
gj_per_target,humanize,llama-3.1-8b,AdvBench,gptoss_safeguard,strict_gj,vanilla,rate,0.000000,520
gj_per_target,humanize,llama-3.1-8b,JBB-Behaviors,gptoss_safeguard,strict_gj,target,rate,0.004000,500
gj_per_target,humanize,llama-3.1-8b,JBB-Behaviors,gptoss_safeguard,strict_gj,vanilla,rate,0.010000,500
gj_per_target,humanize,llama-3.1-8b,HarmBench,gptoss_safeguard,strict_gj,target,rate,0.090000,400
gj_per_target,humanize,llama-3.1-8b,HarmBench,gptoss_safeguard,strict_gj,vanilla,rate,0.162500,400
gj_per_target,humanize,llama-3.1-8b,HarmfulQA,gptoss_safeguard,strict_gj,target,rate,0.000000,1960
gj_per_target,humanize,llama-3.1-8b,HarmfulQA,gptoss_safeguard,strict_gj,vanilla,rate,0.003571,1960
gj_per_target,humanize,llama-3.1-8b,ALL,gptoss_safeguard,strict_gj,target,rate,0.009724,4319
gj_per_target,humanize,llama-3.1-8b,ALL,gptoss_safeguard,strict_gj,vanilla,rate,0.018060,4319
coverage,humanize,gemma-3-4b,ALL,gptoss_safeguard,target,target,items,4319,
coverage,humanize,gemma-3-4b,ALL,gptoss_safeguard,target,target,complete,4319,
coverage,humanize,gemma-3-4b,ALL,gptoss_safeguard,target,target,unknown,4,
coverage,humanize,gemma-3-4b,ALL,gptoss_safeguard,vanilla,vanilla,complete,4319,
gj_per_target,humanize,gemma-3-4b,do-not-answer,gptoss_safeguard,strict_gj,target,rate,0.001065,939
gj_per_target,humanize,gemma-3-4b,do-not-answer,gptoss_safeguard,strict_gj,vanilla,rate,0.001065,939
gj_per_target,humanize,gemma-3-4b,AdvBench,gptoss_safeguard,strict_gj,target,rate,0.003846,520
gj_per_target,humanize,gemma-3-4b,AdvBench,gptoss_safeguard,strict_gj,vanilla,rate,0.000000,520
gj_per_target,humanize,gemma-3-4b,JBB-Behaviors,gptoss_safeguard,strict_gj,target,rate,0.006000,500
gj_per_target,humanize,gemma-3-4b,JBB-Behaviors,gptoss_safeguard,strict_gj,vanilla,rate,0.002000,500
gj_per_target,humanize,gemma-3-4b,HarmBench,gptoss_safeguard,strict_gj,target,rate,0.067500,400
gj_per_target,humanize,gemma-3-4b,HarmBench,gptoss_safeguard,strict_gj,vanilla,rate,0.130000,400
gj_per_target,humanize,gemma-3-4b,HarmfulQA,gptoss_safeguard,strict_gj,target,rate,0.000510,1960
gj_per_target,humanize,gemma-3-4b,HarmfulQA,gptoss_safeguard,strict_gj,vanilla,rate,0.001020,1960
gj_per_target,humanize,gemma-3-4b,ALL,gptoss_safeguard,strict_gj,target,rate,0.007872,4319
gj_per_target,humanize,gemma-3-4b,ALL,gptoss_safeguard,strict_gj,vanilla,rate,0.012966,4319
coverage,humanize,qwen-2.5-7b,ALL,gptoss_safeguard,target,target,items,4319,
coverage,humanize,qwen-2.5-7b,ALL,gptoss_safeguard,target,target,complete,4319,
coverage,humanize,qwen-2.5-7b,ALL,gptoss_safeguard,target,target,unknown,5,
coverage,humanize,qwen-2.5-7b,ALL,gptoss_safeguard,vanilla,vanilla,complete,4319,
gj_per_target,humanize,qwen-2.5-7b,do-not-answer,gptoss_safeguard,strict_gj,target,rate,0.003195,939
gj_per_target,humanize,qwen-2.5-7b,do-not-answer,gptoss_safeguard,strict_gj,vanilla,rate,0.001065,939
gj_per_target,humanize,qwen-2.5-7b,AdvBench,gptoss_safeguard,strict_gj,target,rate,0.001923,520
gj_per_target,humanize,qwen-2.5-7b,AdvBench,gptoss_safeguard,strict_gj,vanilla,rate,0.000000,520
gj_per_target,humanize,qwen-2.5-7b,JBB-Behaviors,gptoss_safeguard,strict_gj,target,rate,0.012000,500
gj_per_target,humanize,qwen-2.5-7b,JBB-Behaviors,gptoss_safeguard,strict_gj,vanilla,rate,0.008000,500
gj_per_target,humanize,qwen-2.5-7b,HarmBench,gptoss_safeguard,strict_gj,target,rate,0.100000,400
gj_per_target,humanize,qwen-2.5-7b,HarmBench,gptoss_safeguard,strict_gj,vanilla,rate,0.150000,400
gj_per_target,humanize,qwen-2.5-7b,HarmfulQA,gptoss_safeguard,strict_gj,target,rate,0.002041,1960
gj_per_target,humanize,qwen-2.5-7b,HarmfulQA,gptoss_safeguard,strict_gj,vanilla,rate,0.013776,1960
gj_per_target,humanize,qwen-2.5-7b,ALL,gptoss_safeguard,strict_gj,target,rate,0.012503,4319
gj_per_target,humanize,qwen-2.5-7b,ALL,gptoss_safeguard,strict_gj,vanilla,rate,0.021301,4319
gj_paper_merged,humanize,merged,ALL,wildguard,strict_gj,target,rate,0.003473,4319
lift_paper_merged,humanize,merged,HarmfulQA,wildguard,lift_pp,target-vanilla,value,-0.459184,1960
lift_paper_merged,humanize,merged,AdvBench,wildguard,lift_pp,target-vanilla,value,0.384615,520
lift_paper_merged,humanize,merged,HarmBench,wildguard,lift_pp,target-vanilla,value,0.000000,400
lift_paper_merged,humanize,merged,JBB-Behaviors,wildguard,lift_pp,target-vanilla,value,-0.400000,500
lift_paper_merged,humanize,merged,do-not-answer,wildguard,lift_pp,target-vanilla,value,0.745474,939
lift_paper_merged,humanize,merged,ALL,wildguard,lift_pp,target-vanilla,value,-0.046307,4319
gj_paper_merged,humanize,merged,ALL,qwen3guard,strict_gj,target,rate,0.005788,4319
lift_paper_merged,humanize,merged,HarmfulQA,qwen3guard,lift_pp,target-vanilla,value,0.000000,1960
lift_paper_merged,humanize,merged,AdvBench,qwen3guard,lift_pp,target-vanilla,value,0.576923,520
lift_paper_merged,humanize,merged,HarmBench,qwen3guard,lift_pp,target-vanilla,value,0.250000,400
lift_paper_merged,humanize,merged,JBB-Behaviors,qwen3guard,lift_pp,target-vanilla,value,0.400000,500
lift_paper_merged,humanize,merged,do-not-answer,qwen3guard,lift_pp,target-vanilla,value,0.851970,939
lift_paper_merged,humanize,merged,ALL,qwen3guard,lift_pp,target-vanilla,value,0.324149,4319
gj_paper_merged,humanize,merged,ALL,granite4,strict_gj,target,rate,0.019217,4319
lift_paper_merged,humanize,merged,HarmfulQA,granite4,lift_pp,target-vanilla,value,0.306122,1960
lift_paper_merged,humanize,merged,AdvBench,granite4,lift_pp,target-vanilla,value,0.769231,520
lift_paper_merged,humanize,merged,HarmBench,granite4,lift_pp,target-vanilla,value,-8.000000,400
lift_paper_merged,humanize,merged,JBB-Behaviors,granite4,lift_pp,target-vanilla,value,0.600000,500
lift_paper_merged,humanize,merged,do-not-answer,granite4,lift_pp,target-vanilla,value,1.916933,939
lift_paper_merged,humanize,merged,ALL,granite4,lift_pp,target-vanilla,value,-0.023154,4319
gj_paper_merged,humanize,merged,ALL,llamaguard,strict_gj,target,rate,0.027784,4319
lift_paper_merged,humanize,merged,HarmfulQA,llamaguard,lift_pp,target-vanilla,value,-2.908163,1960
lift_paper_merged,humanize,merged,AdvBench,llamaguard,lift_pp,target-vanilla,value,7.500000,520
lift_paper_merged,humanize,merged,HarmBench,llamaguard,lift_pp,target-vanilla,value,3.250000,400
