section,strategy,target,dataset,guard,aspect,prefix,metric,value,n
gj_per_target,2025.emnlp-main.100,qwen-2.5-7b,HarmfulQA,gptoss_safeguard,strict_gj,target,rate,0.001531,1960
gj_per_target,2025.emnlp-main.100,qwen-2.5-7b,HarmfulQA,gptoss_safeguard,strict_gj,vanilla,rate,0.015306,1960
gj_per_target,2025.emnlp-main.100,qwen-2.5-7b,ALL,gptoss_safeguard,strict_gj,target,rate,0.003936,4319
gj_per_target,2025.emnlp-main.100,qwen-2.5-7b,ALL,gptoss_safeguard,strict_gj,vanilla,rate,0.021070,4319
gj_paper_merged,2025.emnlp-main.100,merged,ALL,wildguard,strict_gj,target,rate,0.043306,3279
lift_paper_merged,2025.emnlp-main.100,merged,HarmfulQA,wildguard,lift_pp,target-vanilla,value,5.946904,1180
lift_paper_merged,2025.emnlp-main.100,merged,AdvBench,wildguard,lift_pp,target-vanilla,value,1.005025,398
lift_paper_merged,2025.emnlp-main.100,merged,HarmBench,wildguard,lift_pp,target-vanilla,value,6.945713,264
lift_paper_merged,2025.emnlp-main.100,merged,JBB-Behaviors,wildguard,lift_pp,target-vanilla,value,2.806012,499
lift_paper_merged,2025.emnlp-main.100,merged,do-not-answer,wildguard,lift_pp,target-vanilla,value,2.771855,938
lift_paper_merged,2025.emnlp-main.100,merged,ALL,wildguard,lift_pp,target-vanilla,value,3.983125,3279
gj_paper_merged,2025.emnlp-main.100,merged,ALL,qwen3guard,strict_gj,target,rate,0.001852,4319
lift_paper_merged,2025.emnlp-main.100,merged,HarmfulQA,qwen3guard,lift_pp,target-vanilla,value,-0.357143,1960
lift_paper_merged,2025.emnlp-main.100,merged,AdvBench,qwen3guard,lift_pp,target-vanilla,value,0.000000,520
lift_paper_merged,2025.emnlp-main.100,merged,HarmBench,qwen3guard,lift_pp,target-vanilla,value,0.250000,400
lift_paper_merged,2025.emnlp-main.100,merged,JBB-Behaviors,qwen3guard,lift_pp,target-vanilla,value,0.000000,500
lift_paper_merged,2025.emnlp-main.100,merged,do-not-answer,qwen3guard,lift_pp,target-vanilla,value,0.319489,939
lift_paper_merged,2025.emnlp-main.100,merged,ALL,qwen3guard,lift_pp,target-vanilla,value,-0.069461,4319
gj_paper_merged,2025.emnlp-main.100,merged,ALL,granite4,strict_gj,target,rate,0.000000,4319
lift_paper_merged,2025.emnlp-main.100,merged,HarmfulQA,granite4,lift_pp,target-vanilla,value,-0.102041,1960
lift_paper_merged,2025.emnlp-main.100,merged,AdvBench,granite4,lift_pp,target-vanilla,value,0.000000,520
lift_paper_merged,2025.emnlp-main.100,merged,HarmBench,granite4,lift_pp,target-vanilla,value,-20.750000,400
lift_paper_merged,2025.emnlp-main.100,merged,JBB-Behaviors,granite4,lift_pp,target-vanilla,value,0.000000,500
lift_paper_merged,2025.emnlp-main.100,merged,do-not-answer,granite4,lift_pp,target-vanilla,value,0.000000,939
lift_paper_merged,2025.emnlp-main.100,merged,ALL,granite4,lift_pp,target-vanilla,value,-1.968048,4319
gj_paper_merged,2025.emnlp-main.100,merged,ALL,llamaguard,strict_gj,target,rate,0.137069,4319
lift_paper_merged,2025.emnlp-main.100,merged,HarmfulQA,llamaguard,lift_pp,target-vanilla,value,6.938776,1960
lift_paper_merged,2025.emnlp-main.100,merged,AdvBench,llamaguard,lift_pp,target-vanilla,value,31.538462,520
lift_paper_merged,2025.emnlp-main.100,merged,HarmBench,llamaguard,lift_pp,target-vanilla,value,17.750000,400
lift_paper_merged,2025.emnlp-main.100,merged,JBB-Behaviors,llamaguard,lift_pp,target-vanilla,value,11.600000,500
lift_paper_merged,2025.emnlp-main.100,merged,do-not-answer,llamaguard,lift_pp,target-vanilla,value,8.626198,939
lift_paper_merged,2025.emnlp-main.100,merged,ALL,llamaguard,lift_pp,target-vanilla,value,11.808289,4319
gj_paper_merged,2025.emnlp-main.100,merged,ALL,gptoss_safeguard,strict_gj,target,rate,0.021996,4319
lift_paper_merged,2025.emnlp-main.100,merged,HarmfulQA,gptoss_safeguard,lift_pp,target-vanilla,value,0.102041,1960
lift_paper_merged,2025.emnlp-main.100,merged,AdvBench,gptoss_safeguard,lift_pp,target-vanilla,value,0.384615,520
lift_paper_merged,2025.emnlp-main.100,merged,HarmBench,gptoss_safeguard,lift_pp,target-vanilla,value,-10.750000,400
lift_paper_merged,2025.emnlp-main.100,merged,JBB-Behaviors,gptoss_safeguard,lift_pp,target-vanilla,value,0.200000,500
lift_paper_merged,2025.emnlp-main.100,merged,do-not-answer,gptoss_safeguard,lift_pp,target-vanilla,value,1.597444,939
lift_paper_merged,2025.emnlp-main.100,merged,ALL,gptoss_safeguard,lift_pp,target-vanilla,value,-0.532531,4319
coverage,2505.13527v2,llama-3.1-8b,ALL,gptoss_safeguard,target,target,items,4319,
